1445	407757607760771	LAM9
1387	407760007760771	T5_RUS1
961	407777607760771	LAM9
411	407777777760771	T1
1605	416773677777600	BOV
981	416773777777000	BOV
982	416773777777600	BOV
1692	417136777760731	X1
782	417777607760771	LAM9
1724	435773037604771	U
650	436773677774600	BOV
921	437737777420771	H4
339	437776777760601	X2
965	437777407760771	T1
412	437777606060600	LAM11_ZWE
1715	437777607760731	LAM4
964	437777607760771	LAM9
850	437777743760771	LAM10_CAM
1763	437777774320731	H3
1206	437777777400171	U
1159	437777777720771	H3
798	437777777760771	T1
1299	440003777777600	BOV
752	440013777777600	BOV
927	440060000000771	U
1427	457001777413771	EAI5
596	457777777420771	H4
651	464063777777600	BOV
1851	464073777777600	BOV
1310	464223777774600	BOV
1740	467777774000071	U
474	467777777413031	EAI5
76	474001377413771	EAI5
1286	474177777613771	MANU1
1395	474377767413771	EAI5
340	474377777413771	EAI5
1817	474563777777600	BOV
1680	475777777413071	EAI3_IND
1760	476177607760771	LAM3
1746	476377737760771	S
1113	476377777760771	S
1819	476763677777200	BOV
1842	476763777777600	BOV
1875	477001777413771	EAI5
1114	477377777760731	T2
296	477567777413071	EAI3_IND
652	477577777413071	EAI3_IND
1472	477677777410771	CAS
1704	477727607760771	LAM5
178	477737607760731	LAM4
960	477737607760771	LAM5
1502	477757777013071	MANU1
577	477767277413771	EAI5
297	477767377413671	EAI5
298	477767777413071	EAI3_IND
1359	477774374020771	H1
1423	477774777413771	EAI5
624	477775777413071	EAI3_IND
299	477776077411171	U
475	477776077411771	U
1866	477776377413771	EAI5
1342	477777177413071	EAI3_IND
1520	477777277403771	U
10	477777277413771	EAI3
1518	477777377403771	U
1263	477777377410771	CAS
109	477777377413771	EAI8_MDG
1517	477777377417771	U
1676	477777377613071	MANU1
413	477777477413771	EAI5
653	477777604020771	LAM9
753	477777607760771	LAM9
1762	477777637413071	EAI3_IND
865	477777677413071	EAI3_IND
654	477777737413071	EAI3_IND
1930	477777737760771	T1
414	477777767413071	EAI3_IND
1652	477777774020771	H1
415	477777774137771	U
341	477777775413031	EAI5
113	477777776413071	EAI3_IND
1515	477777777403771	U
629	477777777410071	U
1467	477777777410771	CAS
625	477777777412071	EAI5
355	477777777413031	EAI5
1369	477777777413671	EAI5
1182	477777777413731	EAI1_SOM
126	477777777413771	EAI5
655	477777777720771	H3
783	477777777760731	T2
804	477777777760771	T1
12	500036777760771	X3
13	500066777760771	X3
14	500076777760771	X3
1319	500367740003771	CAS2
1323	503767740003671	CAS1_DELHI
754	503777740003771	CAS1_DELHI
79	517347606060661	LAM11_ZWE
1385	537767776760631	T1
360	540377777720771	H3
304	540777757760771	T5
85	557757606060771	LAM11_ZWE
887	557767777720771	H3
597	567777777420771	H4
525	570777637743671	AFRI_1
318	570777777777671	AFRI_1
861	574067606767071	AFRI_2
860	574067607777071	AFRI_2
319	574077607777071	AFRI_2
1269	574777777420771	H4
104	576167400000171	(LAM3?)
1354	576177607760771	LAM3
1211	576377777760771	S
1581	577477777420771	H4
1936	577677077760771	T1
300	577727674413671	EAI4_VNM
793	577736777760601	X2
1433	577737757413771	EAI6_BGD1
361	577737777420771	H4
1272	577737777760571	T3
1924	577747404760671	LAM7_TUR
87	577757606060771	LAM11_ZWE
301	577767777413631	EAI5
1732	577767777413731	EAI1_SOM
1317	577767777760671	T1
1318	577767777760771	T1
1638	577767777763771	MANU2
1402	577770050000000	U
1285	577776755412731	EAI6_BGD1
1744	577776770000000	U
476	577776777760601	X2
1618	577777000000011	ZERO
788	577777002060771	T1
656	577777377420771	T1
1921	577777407560731	T2
15	577777600360771	T1
1792	577777607720771	H3
866	577777607760771	LAM9
543	577777677561771	U
755	577777677720771	H3
1079	577777703760771	T1
1398	577777740003771	U
1798	577777744020771	H1
1418	577777750003771	U
1436	577777757403771	U
882	577777757413771	EAI6_BGD1
417	577777770060771	T1
1155	577777774020771	H1
1731	577777774413771	EAI4_VNM
1632	577777776000371	U
16	577777777413071	EAI3
477	577777777413731	EAI1_SOM
1900	577777777413770	EAI5
380	577777777413771	EAI5
127	577777777420771	H4
1115	577777777700000	U
1360	577777777720631	H3
294	577777777720771	H3
1301	577777777760601	T1
1302	577777777760731	T2
1917	577777777760770	T1
1096	577777777763771	MANU2
1662	600000000060731	T2
1212	600000000060751	T1
1084	600000000360771	T1
544	600000000760731	T2
657	600000016177600	BOV
658	600000017777600	BOV
1741	600000077413771	EAI5
983	600373777777600	BOV
1545	601775607760771	LAM9
1607	601777606060771	LAM11_ZWE
659	602733777777600	BOVIS1
984	602753377777600	BOVIS1
660	602773607777600	BOVIS1
661	602773777777600	BOVIS1
1606	603777740000771	CAS
